Source;Target;Weight;Type
bus.Spot@399c4be1;bus.Spot@291caca8;1;Directed
bus.Spot@385e9564;bus.Spot@5b94b04d;1;Directed
bus.Spot@8c3b9d;bus.Spot@4c39bec8;1;Directed
bus.Spot@f79e;bus.Spot@7ee8290b;3;Directed
bus.Spot@1f59a598;bus.Spot@1e178745;1;Directed
bus.Spot@192c3f1e;bus.Spot@26b3fd41;1;Directed
bus.Spot@7494f96a;bus.Spot@561b6512;1;Directed
bus.Spot@2e377400;bus.Spot@1757cd72;1;Directed
bus.Spot@445b295b;bus.Spot@49e5f737;1;Directed
bus.Spot@5c671d7f;bus.Spot@757277dc;1;Directed
bus.Spot@687e99d8;bus.Spot@e4487af;1;Directed
bus.Spot@6aaceffd;bus.Spot@c86b9e3;1;Directed
bus.Spot@10aa41f2;bus.Spot@3af9c5b7;1;Directed
bus.Spot@37271612;bus.Spot@ed7f8b4;2;Directed
bus.Spot@4c309d4d;bus.Spot@38102d01;13;Directed
bus.Spot@37883b97;bus.Spot@6ab778a;2;Directed
bus.Spot@4e3958e7;bus.Spot@77f80c04;1;Directed
bus.Spot@1dac5ef;bus.Spot@5c90e579;2;Directed
bus.Spot@58ea606c;bus.Spot@6f45df59;2;Directed
bus.Spot@38e79ae3;bus.Spot@63070bab;1;Directed
bus.Spot@68e5eea7;bus.Spot@291b4bf5;10;Directed
bus.Spot@2d2ffcb7;bus.Spot@762ef0ea;2;Directed
bus.Spot@31f9b85e;bus.Spot@424e1977;1;Directed
bus.Spot@10d68fcd;bus.Spot@117e949d;1;Directed
bus.Spot@6db9f5a4;bus.Spot@5f8edcc5;2;Directed
bus.Spot@7b02881e;bus.Spot@1ebd319f;1;Directed
bus.Spot@3c0be339;bus.Spot@15ca7889;2;Directed
bus.Spot@7a675056;bus.Spot@d21a74c;2;Directed
bus.Spot@6e509ffa;bus.Spot@2898ac89;1;Directed
bus.Spot@683dbc2c;bus.Spot@68267da0;1;Directed
bus.Spot@2638011;bus.Spot@6ff29830;2;Directed
bus.Spot@6a2b953e;bus.Spot@313b2ea6;1;Directed
bus.Spot@2f465398;bus.Spot@548e6d58;2;Directed
bus.Spot@623a8092;bus.Spot@a1cdc6d;1;Directed
bus.Spot@175b9425;bus.Spot@3098cf3b;2;Directed
bus.Spot@610f7aa;bus.Spot@6a03bcb1;2;Directed
bus.Spot@21b2e768;bus.Spot@57250572;5;Directed
bus.Spot@5609159b;bus.Spot@2118cddf;4;Directed
bus.Spot@17a7f733;bus.Spot@68567e20;1;Directed
bus.Spot@76ed1b7c;bus.Spot@11fc564b;1;Directed
bus.Spot@394a2528;bus.Spot@6236eb5f;2;Directed
bus.Spot@7c1e2a9e;bus.Spot@fa36558;1;Directed
bus.Spot@672872e1;bus.Spot@32910148;1;Directed
bus.Spot@3f56875e;bus.Spot@2b4bac49;1;Directed
bus.Spot@fd07cbb;bus.Spot@3571b748;1;Directed
bus.Spot@3e96bacf;bus.Spot@484970b0;1;Directed
bus.Spot@4470f8a6;bus.Spot@7c83dc97;1;Directed
bus.Spot@7748410a;bus.Spot@740773a3;1;Directed
bus.Spot@37f1104d;bus.Spot@55740540;1;Directed
bus.Spot@60015ef5;bus.Spot@2f54a33d;3;Directed
bus.Spot@1018bde2;bus.Spot@65b3f4a4;4;Directed
bus.Spot@f2ff811;bus.Spot@568ff82;1;Directed
bus.Spot@50caa560;bus.Spot@2a266d09;2;Directed
bus.Spot@5ab9e72c;bus.Spot@186f8716;1;Directed
bus.Spot@1d8bd0de;bus.Spot@45ca843;2;Directed
bus.Spot@11c9af63;bus.Spot@757acd7b;2;Directed
bus.Spot@36b4fe2a;bus.Spot@574b560f;1;Directed
bus.Spot@ba54932;bus.Spot@28975c28;1;Directed
bus.Spot@3943a2be;bus.Spot@343570b7;1;Directed
bus.Spot@157853da;bus.Spot@71c3b41;2;Directed
bus.Spot@236e3f4e;bus.Spot@3cc1435c;2;Directed
bus.Spot@6bf0219d;bus.Spot@dd0c991;1;Directed
bus.Spot@5f16132a;bus.Spot@69fb6037;2;Directed
bus.Spot@36d585c;bus.Spot@87a85e1;2;Directed
bus.Spot@671a5887;bus.Spot@5552768b;2;Directed
bus.Spot@3c947bc5;bus.Spot@609db43b;1;Directed
bus.Spot@55f616cf;bus.Spot@1356d4d4;1;Directed
bus.Spot@c03cf28;bus.Spot@1329eff;1;Directed
bus.Spot@6497b078;bus.Spot@41c2284a;1;Directed
bus.Spot@53aad5d5;bus.Spot@46fa7c39;4;Directed
bus.Spot@1fb700ee;bus.Spot@4f67eb2a;1;Directed
bus.Spot@4a668b6e;bus.Spot@5f683daf;4;Directed
bus.Spot@78ffe6dc;bus.Spot@8317c52;5;Directed
bus.Spot@76f2bbc1;bus.Spot@68e965f5;3;Directed
bus.Spot@6f27a732;bus.Spot@6c779568;3;Directed
bus.Spot@f381794;bus.Spot@2cdd0d4b;1;Directed
bus.Spot@7e9131d5;bus.Spot@2e1d27ba;1;Directed
bus.Spot@61d6015a;bus.Spot@2525ff7e;1;Directed
bus.Spot@524d6d96;bus.Spot@152aa092;3;Directed
bus.Spot@44a7bfbc;bus.Spot@4ef37659;1;Directed
bus.Spot@776b83cc;bus.Spot@37858383;2;Directed
bus.Spot@4e268090;bus.Spot@1bb266b3;1;Directed
bus.Spot@306cf3ea;bus.Spot@2beee7ff;2;Directed
bus.Spot@5136d012;bus.Spot@5939a379;1;Directed
bus.Spot@e1de817;bus.Spot@52102734;1;Directed
bus.Spot@3541cb24;bus.Spot@2177849e;1;Directed
bus.Spot@40cb8df7;bus.Spot@13b13b5d;1;Directed
bus.Spot@2892dae4;bus.Spot@355ce81c;1;Directed
bus.Spot@29647f75;bus.Spot@3315d2d7;1;Directed
bus.Spot@d6e7bab;bus.Spot@5fa07e12;1;Directed
bus.Spot@55b53d44;bus.Spot@482bce4f;2;Directed
bus.Spot@366647c2;bus.Spot@6a6afff2;3;Directed
bus.Spot@1649b0e6;bus.Spot@865dd6;2;Directed
bus.Spot@4da4253;bus.Spot@3972a855;1;Directed
bus.Spot@62e7f11d;bus.Spot@503d687a;2;Directed
bus.Spot@6a370f4;bus.Spot@2abf4075;2;Directed
bus.Spot@770d3326;bus.Spot@4cc8eb05;2;Directed
bus.Spot@51f116b8;bus.Spot@19d481b;1;Directed
bus.Spot@1f97cf0d;bus.Spot@140c9f39;2;Directed
bus.Spot@4d910fd6;bus.Spot@26275bef;4;Directed
bus.Spot@7690781;bus.Spot@77eca502;1;Directed
bus.Spot@3246fb96;bus.Spot@2e222612;1;Directed
bus.Spot@61386958;bus.Spot@73ee04c8;3;Directed
bus.Spot@7671cb68;bus.Spot@49dc7102;1;Directed
bus.Spot@6b8ca3c8;bus.Spot@68c72235;1;Directed
bus.Spot@10959ece;bus.Spot@3a6bb9bf;2;Directed
bus.Spot@34f7cfd9;bus.Spot@65f095f8;1;Directed
bus.Spot@59af0466;bus.Spot@3e6ef8ad;2;Directed
bus.Spot@346d61be;bus.Spot@55536d9e;4;Directed
bus.Spot@747edf66;bus.Spot@3d1cfad4;1;Directed
bus.Spot@62230c58;bus.Spot@2cd2a21f;3;Directed
bus.Spot@2e55dd0c;bus.Spot@74455848;4;Directed
bus.Spot@e7edb54;bus.Spot@378542de;1;Directed
bus.Spot@3738449f;bus.Spot@69e1dd28;2;Directed
bus.Spot@11bd0f3b;bus.Spot@c333c60;2;Directed
bus.Spot@79da8dc5;bus.Spot@1eb5174b;1;Directed
bus.Spot@67080771;bus.Spot@72cde7cc;2;Directed
bus.Spot@5fd4f8f5;bus.Spot@696da30b;1;Directed
bus.Spot@4e7912d8;bus.Spot@53976f5c;2;Directed
bus.Spot@2bfc268b;bus.Spot@2f8dad04;1;Directed
bus.Spot@29e495ff;bus.Spot@41e1e210;1;Directed
bus.Spot@be35cd9;bus.Spot@4944252c;4;Directed
bus.Spot@44821a96;bus.Spot@a3d8174;6;Directed
bus.Spot@1ba9117e;bus.Spot@732c2a62;2;Directed
bus.Spot@272ed83b;bus.Spot@41fecb8b;1;Directed
bus.Spot@120f102b;bus.Spot@625732;2;Directed
bus.Spot@51dcb805;bus.Spot@66498326;3;Directed
bus.Spot@cad498c;bus.Spot@1e6454ec;2;Directed
bus.Spot@2accdbb5;bus.Spot@b62d79;1;Directed
bus.Spot@6631f5ca;bus.Spot@5ace1ed4;2;Directed
bus.Spot@1613674b;bus.Spot@27ff5d15;2;Directed
bus.Spot@4e096385;bus.Spot@649bec2e;1;Directed
bus.Spot@693fe6c9;bus.Spot@34f5090e;1;Directed
bus.Spot@31e5415e;bus.Spot@a2431d0;1;Directed
bus.Spot@1cbb87f3;bus.Spot@1a4013;1;Directed
bus.Spot@1b6e1eff;bus.Spot@306f16f3;4;Directed
bus.Spot@702b8b12;bus.Spot@22e357dc;1;Directed
bus.Spot@49912c99;bus.Spot@10163d6;3;Directed
bus.Spot@2dde1bff;bus.Spot@15bbf42f;4;Directed
bus.Spot@550ee7e5;bus.Spot@5f9b2141;1;Directed
bus.Spot@247d8ae;bus.Spot@48974e45;1;Directed
bus.Spot@6a84a97d;bus.Spot@6c130c45;10;Directed
bus.Spot@50ad3bc1;bus.Spot@223aa2f7;8;Directed
bus.Spot@6d3a388c;bus.Spot@193f604a;1;Directed
bus.Spot@20f5239f;bus.Spot@57af006c;5;Directed
bus.Spot@6bedbc4d;bus.Spot@932bc4a;1;Directed
bus.Spot@d29f28;bus.Spot@2fd1433e;2;Directed
bus.Spot@29d89d5d;bus.Spot@3514a4c0;2;Directed
bus.Spot@212b5695;bus.Spot@446293d;1;Directed
bus.Spot@69997e9d;bus.Spot@793be5ca;1;Directed
bus.Spot@2df9b86;bus.Spot@37654521;1;Directed
bus.Spot@15aab8c6;bus.Spot@33990a0c;11;Directed
bus.Spot@4de4b452;bus.Spot@50b5ac82;1;Directed
bus.Spot@101952da;bus.Spot@6babf3bf;2;Directed
bus.Spot@3059cbc;bus.Spot@7ea9e1e2;1;Directed
bus.Spot@24fcf36f;bus.Spot@10feca44;1;Directed
bus.Spot@3fb1549b;bus.Spot@ea6147e;2;Directed
bus.Spot@4d02f94e;bus.Spot@2b48a640;1;Directed
bus.Spot@1e683a3e;bus.Spot@2053d869;1;Directed
bus.Spot@7a419da4;bus.Spot@14555e0a;2;Directed
bus.Spot@4bb33f74;bus.Spot@759d26fb;1;Directed
bus.Spot@3c73951;bus.Spot@3d5c822d;1;Directed
bus.Spot@6f46426d;bus.Spot@73700b80;2;Directed
bus.Spot@49c7b90e;bus.Spot@10d307f1;1;Directed
bus.Spot@4d5b6aac;bus.Spot@3e84448c;4;Directed
bus.Spot@4a7f959b;bus.Spot@429bffaa;1;Directed
bus.Spot@5403f35f;bus.Spot@483f6d77;3;Directed
bus.Spot@7e5afaa6;bus.Spot@63a12c68;1;Directed
bus.Spot@28f3b248;bus.Spot@1b1426f4;1;Directed
bus.Spot@32b260fa;bus.Spot@581ac8a8;2;Directed
bus.Spot@6d4e5011;bus.Spot@57d7f8ca;5;Directed
bus.Spot@76c3e77a;bus.Spot@78123e82;1;Directed
bus.Spot@67c33749;bus.Spot@fba92d3;5;Directed
bus.Spot@662b4c69;bus.Spot@fa49800;3;Directed
bus.Spot@71238fc2;bus.Spot@2a54a73f;1;Directed
bus.Spot@16a0ee18;bus.Spot@3d6f0054;1;Directed
bus.Spot@505fc5a4;bus.Spot@5fbdfdcf;2;Directed
bus.Spot@4efc180e;bus.Spot@bd4dc25;2;Directed
bus.Spot@25084a1e;bus.Spot@156b88f5;2;Directed
bus.Spot@3bf9ce3e;bus.Spot@16610890;3;Directed
bus.Spot@71def8f8;bus.Spot@383bfa16;1;Directed
bus.Spot@4d465b11;bus.Spot@53fdffa1;3;Directed
bus.Spot@5562c41e;bus.Spot@32ee6fee;3;Directed
bus.Spot@4d0f2471;bus.Spot@7133da86;5;Directed
bus.Spot@3232a28a;bus.Spot@73e22a3d;4;Directed
bus.Spot@47faa49c;bus.Spot@28f2a10f;1;Directed
bus.Spot@f736069;bus.Spot@6da21078;2;Directed
bus.Spot@7fee8714;bus.Spot@4229bb3f;3;Directed
bus.Spot@56cdfb3b;bus.Spot@2b91004a;1;Directed
bus.Spot@20ccf40b;bus.Spot@2fb3536e;1;Directed
bus.Spot@169e6180;bus.Spot@35aea049;6;Directed
bus.Spot@7205765b;bus.Spot@47987356;2;Directed
bus.Spot@22ef9844;bus.Spot@6283d8b8;1;Directed
bus.Spot@3b6ddd1d;bus.Spot@3f6b0be5;1;Directed
bus.Spot@611889f4;bus.Spot@1da2cb77;1;Directed
bus.Spot@48f278eb;bus.Spot@2f217633;1;Directed
bus.Spot@a530d0a;bus.Spot@1a18644;1;Directed
bus.Spot@5acf93bb;bus.Spot@7e7be63f;1;Directed
bus.Spot@6cd28fa7;bus.Spot@614ca7df;1;Directed
bus.Spot@4738a206;bus.Spot@66d3eec0;1;Directed
bus.Spot@1e04fa0a;bus.Spot@1af2d44a;1;Directed
bus.Spot@18d87d80;bus.Spot@618425b5;1;Directed
bus.Spot@58695725;bus.Spot@543588e6;2;Directed
bus.Spot@f5acb9d;bus.Spot@4fb3ee4e;4;Directed
bus.Spot@5d7148e2;bus.Spot@25fb8912;3;Directed
bus.Spot@7c24b813;bus.Spot@2c35e847;1;Directed
bus.Spot@7bd4937b;bus.Spot@21e360a;2;Directed
bus.Spot@5ba3f27a;bus.Spot@58d75e99;1;Directed
bus.Spot@74751b3;bus.Spot@741a8937;1;Directed
bus.Spot@306e95ec;bus.Spot@52af26ee;6;Directed
bus.Spot@6fd83fc1;bus.Spot@4f2b503c;2;Directed
bus.Spot@bae7dc0;bus.Spot@209da20d;1;Directed
bus.Spot@e15b7e8;bus.Spot@1b2abca6;1;Directed
bus.Spot@6392827e;bus.Spot@2ed2d9cb;2;Directed
bus.Spot@d5b810e;bus.Spot@43dac38f;2;Directed
bus.Spot@342c38f8;bus.Spot@c88a337;1;Directed
bus.Spot@5d0a1059;bus.Spot@485966cc;1;Directed
bus.Spot@1de76cc7;bus.Spot@54bff557;2;Directed
bus.Spot@593aaf41;bus.Spot@5a56cdac;3;Directed
bus.Spot@7c711375;bus.Spot@57cf54e1;4;Directed
bus.Spot@5b03b9fe;bus.Spot@37d4349f;3;Directed
bus.Spot@434a63ab;bus.Spot@6e0f5f7f;2;Directed
bus.Spot@2805d709;bus.Spot@3ee37e5a;4;Directed
bus.Spot@2ea41516;bus.Spot@3a44431a;3;Directed
bus.Spot@3c7f66c4;bus.Spot@194bcebf;1;Directed
bus.Spot@17497425;bus.Spot@f0da945;1;Directed
bus.Spot@4803b726;bus.Spot@ffaa6af;1;Directed
bus.Spot@53ce1329;bus.Spot@316bcf94;1;Directed
bus.Spot@6404f418;bus.Spot@3e11f9e9;1;Directed
bus.Spot@1de5f259;bus.Spot@729d991e;2;Directed
bus.Spot@31fa1761;bus.Spot@957e06;2;Directed
bus.Spot@32502377;bus.Spot@2c1b194a;1;Directed
bus.Spot@4dbb42b7;bus.Spot@66f57048;3;Directed
bus.Spot@550dbc7a;bus.Spot@21282ed8;1;Directed
bus.Spot@36916eb0;bus.Spot@7bab3f1a;4;Directed
bus.Spot@437da279;bus.Spot@23c30a20;3;Directed
bus.Spot@1e1a0406;bus.Spot@3cebbb30;1;Directed
bus.Spot@12aba8be;bus.Spot@290222c1;1;Directed
bus.Spot@67f639d3;bus.Spot@6253c26;2;Directed
bus.Spot@49049a04;bus.Spot@71a8adcf;3;Directed
bus.Spot@27462a88;bus.Spot@82de64a;1;Directed
bus.Spot@659499f1;bus.Spot@51e69659;1;Directed
bus.Spot@47e2e487;bus.Spot@201a4587;1;Directed
bus.Spot@61001b64;bus.Spot@4310d43;1;Directed
bus.Spot@54a7079e;bus.Spot@26e356f0;5;Directed
bus.Spot@47d9a273;bus.Spot@4b8ee4de;1;Directed
bus.Spot@27f981c6;bus.Spot@1b11171f;3;Directed
bus.Spot@1151e434;bus.Spot@2dc54ad4;1;Directed
bus.Spot@4659191b;bus.Spot@55634720;1;Directed
bus.Spot@4b0d79fc;bus.Spot@4c1909a3;2;Directed
bus.Spot@428640fa;bus.Spot@d9345cd;2;Directed
bus.Spot@2d710f1a;bus.Spot@29215f06;1;Directed
bus.Spot@59505b48;bus.Spot@4efac082;1;Directed
bus.Spot@6bd61f98;bus.Spot@48aca48b;2;Directed
bus.Spot@13fd2ccd;bus.Spot@b9b00e0;1;Directed
bus.Spot@506ae4d4;bus.Spot@7d4f9aae;1;Directed
bus.Spot@72e5a8e;bus.Spot@54e1c68b;1;Directed
bus.Spot@53aac487;bus.Spot@52b1beb6;1;Directed
bus.Spot@273e7444;bus.Spot@7db12bb6;2;Directed
bus.Spot@783a467b;bus.Spot@272113c4;1;Directed
bus.Spot@73e9cf30;bus.Spot@771a660;1;Directed
bus.Spot@2d52216b;bus.Spot@242b836;2;Directed
bus.Spot@3f6f6701;bus.Spot@3527942a;6;Directed
