name,eccentricity,closnesscentrality,harmonicclosnesscentrality,betweenesscentrality
STA. APOLONIA,103,0.0189607671,0.0229196933,60967.9047619048
1º DE MAIO,102,0.0166392162,0.0217934035,158607
TOURAIS,102,0.0205875821,0.0250049237,63476.8055555556
R. DAS MATAS,102,0.0195793423,0.0241220247,18358
PINTA,102,0.0163265306,0.0196659042,7900
IGREJA DE  ALDOAR,102,0.0202274302,0.0260011381,13749.75
IGREJA DA MAIA,102,0.0164493941,0.0214933089,137946.714285714
GOMES AZURARA,102,0.0185829334,0.0218063267,39837
GNR,102,0.0203043069,0.0248722125,61085.7850877193
ANTÓNIO MARQUES,102,0.0163275013,0.0196689065,9474
28 DE JANEIRO,102,0.0195761807,0.0237786888,59426.2445820435
FORNOS,102,0.0182453866,0.0214132054,39664.2833333333
AGRO,102,0.019581322,0.0237798503,6312
VILA D ESTE,102,0.0195472618,0.0230977346,0
MALACA,102,0.0201963247,0.0247568519,6983.8888888889
ANTÓNIO PEDRO,102,0.0193151457,0.0234084458,61006.9047619048
FONTINHA,102,0.0171634558,0.0202798213,13518.6666666667
MONTE AVÓ,102,0.0195591739,0.0230194974,71990
AGRA,101,0.0169118673,0.0228611691,158646
NEVOGILDE,101,0.0206031924,0.0254328393,7022.8888888889
DOZE CASAS,101,0.0174531279,0.0206317721,13557.6666666667
SARILHOS,101,0.0210054913,0.0256175687,63515.8055555556
ALTOS,101,0.0165880016,0.0200790441,11046
VARANDAS,101,0.0185765812,0.0218226625,39703.2833333333
HENRIQUE CERNACHE,101,0.0199497151,0.0240398691,0
ALAM.EMPRESA,101,0.0199597514,0.0244024441,7885
R.NOVA S. GENS,101,0.0196830234,0.0239264594,61045.9047619048
ELECTROCERÂMICA,101,0.0199571984,0.024402065,59465.2445820435
TV. MATAS,101,0.0199473471,0.024045117,16859
URB. VILA D''ESTE,101,0.0199244203,0.0235838952,1587
BAIRRO ANT. AROSO,101,0.0206015765,0.0254297238,8474.5
STA. MARINHA,101,0.0207153091,0.0255410609,61124.7850877193
GATANHAL,101,0.0199334708,0.0235161732,72029
BERNARDIM RIBEIRO,101,0.0189277479,0.022223713,39876
ALTINO  COELHO,101,0.0165870056,0.0200759234,9474
ALBERTO MACEDO,101,0.0206048087,0.0254356263,18488.8333333333
LAGE,101,0.0165894737,0.0200848489,121067.714285714
L.GO MONTINHO,100,0.0203533423,0.0251123389,68966.2445820435
VESSADA,100,0.0163250085,0.0195951614,39371.2857142857
J.A.E.,100,0.0189200221,0.0222555226,39742.2833333333
MONTE CASTELO,100,0.0214407183,0.0262752506,63554.8055555555
PARQUE CIDADE,100,0.0210259489,0.0261992752,8513.5
BALDÕES,100,0.0203223727,0.0240522211,72068
PARQUE DA CIDADE,100,0.0210267905,0.0262008775,7061.8888888889
MARQUÊS,100,0.0177527457,0.0210007341,42222.3636363636
LUIS CAMÕES,100,0.0168579589,0.0205552921,121106.714285714
QUATRO CAMINHOS,100,0.0200651864,0.0244770636,61084.9047619048
FERREIRA DA CRUZ,100,0.016856093,0.020548891,11046
FONTE VILA,100,0.0202925727,0.0240333746,0
R. SR MATOSINHOS,100,0.0203415207,0.0246328062,16898
CORREIA PINTO,100,0.0210284738,0.0262038219,14666.2656862745
LGO. DOS AVIADORES,100,0.0211432941,0.0262797797,120645.452631579
MIMOSAS,100,0.0203166633,0.0240982608,3172
BR. CEDRO,100,0.0192856007,0.0226613501,39915
MAIA (ESTÁDIO),100,0.0168571154,0.0205521657,12616
BAIRRO DA PREVIDÊNCIA,100,0.0210284738,0.0262038219,18527.8333333333
AKI,100,0.0203429161,0.0246288455,1578
LICEU GARCIA ORTA,99,0.0214681723,0.0271242471,17190.3888888889
SRA. HORA (METRO),99,0.0204624833,0.0250642295,61123.9047619048
FÓRUM,99,0.0171342272,0.0211385055,12616
TV.TRÁS,99,0.0207267514,0.0246395085,72107
SALGUEIRO MAIA,99,0.0207249144,0.0246440072,4755
ALAM. CEDRO,99,0.0196572455,0.0231209102,39954
ARROTEIA,99,0.0165873784,0.0200311324,39410.2857142857
MAKRO,99,0.0207515867,0.0252741845,16937
MAKRO,99,0.0207521844,0.0252719428,3154
BATALHA,99,0.0212327383,0.0260037085,110375.370330237
PERPÉTUO SOCORRO,99,0.0180628302,0.0213883149,42261.3636363636
AREINHO,99,0.0192764011,0.022715296,39781.2833333333
PAUS,99,0.0218943625,0.0269853971,63593.8055555556
PONTE MOVEL,99,0.0206997811,0.0245913033,1579
LGO. EÇA QUEIRÓS,99,0.0207655313,0.0259701672,69005.2445820435
PEDRAS RUBRAS,99,0.0210037296,0.0281824296,0
SOBREIRO,99,0.0171352774,0.021142004,135338.714285714
CONTINENTE,99,0.0206881161,0.0245820949,76741.2333333333
BARROSA,99,0.0215899284,0.0271118109,126274.452631579
BAIRRO DA VILARINHA,99,0.0214699271,0.0271273626,18566.8333333333
BAIRRO VILARINHA,99,0.0214699271,0.0271273626,14705.2656862745
FREIXO,98,0.0196464634,0.0232068572,41097.2833333333
BARREIRO,98,0.0211377975,0.0252881731,1578
GAIASHOPPING,98,0.0211785258,0.0259851719,21707
TV.CONSELHEIRO VELOSO DA CRUZ,98,0.0220626321,0.0281101526,126313.452631579
ESCARPA SERRA  PILAR,98,0.0216831996,0.0267386446,110414.370330237
FARRAPAS,98,0.0211475498,0.0253005885,72146
HIPÓDROMO,98,0.0211160983,0.0251883958,76780.2333333333
FONTE DA MOURA,98,0.0219303128,0.0284376725,34887.0990196078
FONTE DA MOURA,98,0.0219293974,0.0284360702,17229.3888888889
SRA. HORA,98,0.0208758312,0.0256927631,61162.9047619048
LINHARES,98,0.022367618,0.0277580151,63632.8055555556
SR. MATOSINHOS,98,0.0225371448,0.0283674114,16175.7777777778
QUINTA DE SANTIAGO,98,0.0211239324,0.0251943134,3156
COMBATENTES,98,0.0183839397,0.0217964051,42300.3636363636
MONTE DA VIRGEM,98,0.0211501742,0.0252249762,6336
R.CONCHAS,98,0.0168583195,0.0205777141,39449.2857142857
LABORIM,98,0.0200434954,0.0236042768,39993
MAIA,98,0.0174218724,0.0220573706,149570.714285714
TV. FONTE LODOSA,98,0.0211947605,0.0271997367,69044.2445820435
MAJOR PÁLA,97,0.0215238798,0.0262212696,53703.2445820435
REGADIO,97,0.0228617848,0.0286073676,63671.8055555556
CAIS 6,97,0.0215661069,0.0258550745,4731
CARRIÇAL,97,0.0213062229,0.0263685819,61201.9047619048
FERREIRA DE CASTRO,97,0.0204452286,0.024113584,40032
PIRES DE LIMA,97,0.0187166728,0.0222272653,42339.3636363636
QUARTEL SRR. PILAR,97,0.0221531887,0.0275525899,110453.370330237
Q.TA DA CONCEICÃO,97,0.0215621622,0.0258522522,76819.2333333333
MATOSINHOS (IGREJA),97,0.0230537433,0.02937634,16214.7777777778
FRANCOS Z. INDUSTR,97,0.0223657135,0.0290355509,179713.519963369
AV.DA BOAVISTA,97,0.0223660309,0.0278837087,47254.8490196078
TV.ESCOLAS,97,0.0170655116,0.0198163026,10731
R.ORIENTAL,97,0.0215857884,0.0260898555,72185
ALFÉRES PEREIRA,97,0.0225564986,0.0293307429,126352.452631579
VISCONDE BARREIROS,97,0.0176042179,0.0207102738,135767.714285714
TELHEIRA,97,0.0215805679,0.0260832195,3154
HOSP. SANTOS SILVA,97,0.0215935288,0.0258459227,7915
CAMPO PASTELEIRA,97,0.0223511225,0.0276185892,6795
BRÁS OLEIRO,97,0.0176262694,0.0219478376,142707
SRA. DA HORA,97,0.0200310125,0.0237374766,41136.2833333333
CENTRO SAÚDE,97,0.0171382588,0.0214457754,39488.2857142857
S.TA CATARINA,97,0.0223892259,0.0280476249,9152.8166666667
TELHEIRA,97,0.0216234016,0.0267942885,21746
IGREJA (MILHEIROS),96,0.0173522417,0.0201338788,10770
LICEU GARCIA ORTA,96,0.0228670923,0.0291190861,47293.8490196078
ALFREDO CUNHA,96,0.0235945804,0.0305382858,16253.7777777778
S. PEDRO,96,0.020430916,0.0243191294,41175.2833333333
VISCONDE DEVESAS,96,0.0230729815,0.0310580649,126391.452631579
JARDIM ZOOLÓGICO,96,0.0179068526,0.0210980679,135806.714285714
PALMEIRAS,96,0.0229066438,0.0289968466,55982.95
GÁS,96,0.0224283734,0.0276562208,0
ROT. A.E.P.,96,0.0228667605,0.0304686502,179752.519963369
SENDIM (CEMITÉRIO),96,0.0233782802,0.0295554896,63710.8055555555
GOA,96,0.0186339076,0.0217454843,64130
QTA DAS ROSAS,96,0.0208633951,0.0246512651,40071
GOMES COSTA 1,96,0.0228621165,0.0284514977,24326.5833333333
SILVA TAPADA,96,0.0190616723,0.0226836542,42378.3636363636
AREIAS,96,0.020395263,0.0238375732,0
EGAS MONIZ,96,0.0220561582,0.0265129086,9492
FLUVIAL,96,0.022895662,0.0289655887,9191.8166666667
PARQUE J. G. LARANJO,96,0.0217547347,0.0270991291,61240.9047619048
ALDEIA NOVA,96,0.0173509044,0.0201323203,27259.2857142857
INFANTE D.HENRIQUE,96,0.0218679321,0.0261271055,28727.1666666667
INFANTE D. HENRIQUE,96,0.0220873684,0.0277652496,21785
IGREJA N.SRA DA AJUDA,96,0.0228541597,0.0284337376,6834
ASSOC. EMP. PORTUGAL,96,0.0220274784,0.0265971223,83166.2333333333
CEDOFEITA,96,0.0217998727,0.0258804128,3071
PR. M. SILVA REIS,96,0.0219853803,0.0271034237,53742.2445820435
JARDIM DO MORRO,96,0.0226440035,0.0284747321,110492.370330237
CORIM,96,0.0179343621,0.0225232563,142746
JUSTINO MARQUES,96,0.0220425746,0.027220446,76955
PAULO DA GAMA,95,0.0234255392,0.0300041302,9230.8166666667
FLUVIAL (NORTE),95,0.023433202,0.0300257742,56021.95
EXPONOR,95,0.0225133209,0.0274784988,83205.2333333333
BR. DA PASTELEIRA,95,0.0233803611,0.0293216398,6873
FREIXIEIRO,95,0.0223150442,0.0260400779,61614
CARCAVELOS,95,0.0241710377,0.0319907146,111462.064285714
FERREIRA DE CASTRO,95,0.0212990242,0.0252201153,40110
GÁS,95,0.0229284805,0.0286062034,0
GENERAL TORRES,95,0.0231570595,0.0295686021,110531.370330237
CASTELO DO QUEIJO,95,0.0235533238,0.0319833707,33641.5555555555
HOSPITAL MATOSINHOS,95,0.0189751493,0.0221559568,64169
SARDOAL,95,0.0225393476,0.0272339784,11067
CONTINENTE,95,0.0222175231,0.0278885958,101513.286630037
SEARA,95,0.0239186523,0.030640874,63749.8055555555
LAVOURAS,95,0.0224671048,0.0283470155,67651.6140350877
SOARES DOS REIS,95,0.0225716823,0.0291270052,119527.285964912
LUIS WOODHOUSE,95,0.0194196291,0.023169027,42417.3636363636
PARQUE BASÍLIO TELES,95,0.0241614031,0.0319448883,16292.7777777778
SRA. HORA (HIPER),95,0.0222225356,0.027894019,61279.9047619048
